UF,Municipios,Alias
RO,ALTA FLORESTA D´OESTE,ALTA FLORESTA D´OESTE
RO,ARIQUEMES,ARIQUEMES
RO,CABIXI,CABIXI
RO,CACOAL,CACOAL
RO,CEREJEIRAS,CEREJEIRAS
RO,COLORADO DO OESTE,COLORADO DO OESTE
RO,CORUMBIARA,CORUMBIARA
RO,COSTA MARQUES,COSTA MARQUES
RO,ESPIGAO D´OESTE,ESPIGAO D´OESTE
RO,GUAJARA-MIRIM,GUAJARA-MIRIM
RO,JARU,JARU
RO,JI-PARANA,JI-PARANA
RO,MACHADINHO D´OESTE,MACHADINHO D´OESTE
RO,NOVA BRASILANDIA D´OESTE,NOVA BRASILANDIA D´OESTE
RO,OURO PRETO DO OESTE,OURO PRETO DO OESTE
RO,PIMENTA BUENO,PIMENTA BUENO
RO,PORTO VELHO,PORTO VELHO
RO,PRESIDENTE MEDICI,PRESIDENTE MEDICI
RO,RIO CRESPO,RIO CRESPO
RO,ROLIM DE MOURA,ROLIM DE MOURA
RO,SANTA LUZIA D´OESTE,SANTA LUZIA D´OESTE
RO,VILHENA,VILHENA
RO,SAO MIGUEL DO GUAPORE,SAO MIGUEL DO GUAPORE
RO,NOVA MAMORE,NOVA MAMORE
RO,ALVORADA D´OESTE,ALVORADA D´OESTE
RO,ALTO ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS
RO,ALTO PARAISO,ALTO PARAISO
RO,BURITIS,BURITIS
RO,NOVO HORIZONTE DO OESTE,NOVO HORIZONTE DO OESTE
RO,CACAULANDIA,CACAULANDIA
RO,CAMPO NOVO DE RONDONIA,CAMPO NOVO DE RONDONIA
RO,CANDEIAS DO JAMARI,CANDEIAS DO JAMARI
RO,CASTANHEIRAS,CASTANHEIRAS
RO,CHUPINGUAIA,CHUPINGUAIA
RO,CUJUBIM,CUJUBIM
RO,GOVERNADOR JORGE TEIXEIRA,GOVERNADOR JORGE TEIXEIRA
RO,ITAPUA DO OESTE,ITAPUA DO OESTE
