"BOM JESUS DO TOCANTINS","BOM JESUS DO TOCANTINS(PA)","BOM JESUS DO TOCANTINS(TO)",,,
"PAU D'ARCO","PAU D'ARCO(PA)","PAU D'ARCO(TO)",,,
"ARAGUANA","ARAGUANA(TO)","ARAGUANA(MA)",,,
"PRESIDENTE MEDICI","PRESIDENTE MEDICI(RO)","PRESIDENTE MEDICI(MA)",,,
"ESPERANTINA","ESPERANTINA(TO)","ESPERANTINA(PI)",,,
"IPUEIRAS","IPUEIRAS(TO)","IPUEIRAS(CE)",,,
"IRACEMA","IRACEMA(RO)","IRACEMA(CE)",,,
"NOVA OLINDA","NOVA OLINDA(TO)","NOVA OLINDA(CE)","NOVA OLINDA(PB)",,
"REDENCAO","REDENCAO(PA)","REDENCAO(CE)",,,
"BOM JESUS","BOM JESUS(PI)","BOM JESUS(RN)","BOM JESUS(PB)","BOM JESUS(SC)","BOM JESUS(RS)"
"MONTE ALEGRE","MONTE ALEGRE(PA)","MONTE ALEGRE(RN)",,,
"PARANA","PARANA(TO)","PARANA(RN)",,,
"SAO GONCALO DO AMARANTE","SAO GONCALO DO AMARANTE(CE)","SAO GONCALO DO AMARANTE(RN)",,,
"SITIO NOVO","SITIO NOVO(MA)","SITIO NOVO(RN)",,,
"AGUA BRANCA","AGUA BRANCA(PI)","AGUA BRANCA(PB)","AGUA BRANCA(AL)",,
"BARAUNA","BARAUNA(RN)","BARAUNA(PB)",,,
"BELEM","BELEM(PA)","BELEM(PB)","BELEM(AL)",,
"BOA VISTA","BOA VISTA(RO)","BOA VISTA(PB)",,,
"CARAUBAS","CARAUBAS(RN)","CARAUBAS(PB)",,,
"MULUNGU","MULUNGU(CE)","MULUNGU(PB)",,,
"PASSAGEM","PASSAGEM(RN)","PASSAGEM(PB)",,,
"PEDRA BRANCA","PEDRA BRANCA(CE)","PEDRA BRANCA(PB)",,,
"PILOES","PILOES(RN)","PILOES(PB)",,,
"RIACHAO","RIACHAO(MA)","RIACHAO(PB)",,,
"SANTA CRUZ","SANTA CRUZ(RN)","SANTA CRUZ(PB)","SANTA CRUZ(PE)",,
